"Time","NERSC-Perlmutter-CPU"
2025-09-26 17:30:00,977
2025-09-26 18:00:00,995
2025-09-26 18:30:00,995
2025-09-26 19:00:00,995
2025-09-26 19:30:00,995
2025-09-26 20:00:00,995
2025-09-26 20:30:00,984
2025-09-26 21:00:00,988
2025-09-26 21:30:00,992
2025-09-26 22:00:00,995
2025-09-26 22:30:00,995
2025-09-26 23:00:00,995
2025-09-26 23:30:00,995
2025-09-27 00:00:00,995
2025-09-27 00:30:00,995
2025-09-27 01:00:00,992
2025-09-27 01:30:00,989
2025-09-27 02:00:00,995
2025-09-27 02:30:00,995
2025-09-27 03:00:00,995
2025-09-27 03:30:00,994
2025-09-27 04:00:00,986
2025-09-27 04:30:00,992
2025-09-27 05:00:00,995
2025-09-27 05:30:00,995
2025-09-27 06:00:00,995
2025-09-27 06:30:00,995
2025-09-27 07:00:00,995
2025-09-27 07:30:00,989
2025-09-27 08:00:00,990
2025-09-27 08:30:00,994
2025-09-27 09:00:00,995
2025-09-27 09:30:00,995
2025-09-27 10:00:00,995
2025-09-27 10:30:00,995
2025-09-27 11:00:00,995
2025-09-27 11:30:00,995
2025-09-27 12:00:00,988
2025-09-27 12:30:00,993
2025-09-27 13:00:00,995
2025-09-27 13:30:00,995
2025-09-27 14:00:00,993
2025-09-27 14:30:00,917
2025-09-27 15:00:00,695
2025-09-27 15:30:00,597
2025-09-27 16:00:00,597
2025-09-27 16:30:00,597
2025-09-27 17:00:00,679
2025-09-27 17:30:00,939
2025-09-27 18:00:00,962
2025-09-27 18:30:00,789
2025-09-27 19:00:00,653
2025-09-27 19:30:00,597
2025-09-27 20:00:00,597
2025-09-27 20:30:00,597
2025-09-27 21:00:00,597
2025-09-27 21:30:00,597
2025-09-27 22:00:00,816
2025-09-27 22:30:00,976
2025-09-27 23:00:00,831
2025-09-27 23:30:00,796
2025-09-28 00:00:00,796
2025-09-28 00:30:00,796
2025-09-28 01:00:00,796
2025-09-28 01:30:00,796
2025-09-28 02:00:00,796
2025-09-28 02:30:00,796
2025-09-28 03:00:00,796
2025-09-28 03:30:00,796
2025-09-28 04:00:00,783
2025-09-28 04:30:00,709
2025-09-28 05:00:00,691
2025-09-28 05:30:00,691
2025-09-28 06:00:00,691
2025-09-28 06:30:00,691
2025-09-28 07:00:00,691
2025-09-28 07:30:00,691
2025-09-28 08:00:00,691
2025-09-28 08:30:00,691
2025-09-28 09:00:00,402
2025-09-28 09:30:00,293
2025-09-28 10:00:00,293
2025-09-28 10:30:00,293
2025-09-28 11:00:00,293
2025-09-28 11:30:00,293
2025-09-28 12:00:00,293
2025-09-28 12:30:00,293
2025-09-28 13:00:00,293
2025-09-28 13:30:00,293
2025-09-28 14:00:00,290
2025-09-28 14:30:00,206
2025-09-28 15:00:00,69
2025-09-28 15:30:00,
2025-09-28 16:00:00,
2025-09-28 16:30:00,
2025-09-28 17:00:00,
2025-09-28 17:30:00,
2025-09-28 18:00:00,
2025-09-28 18:30:00,
2025-09-28 19:00:00,
2025-09-28 19:30:00,
2025-09-28 20:00:00,
2025-09-28 20:30:00,
2025-09-28 21:00:00,
2025-09-28 21:30:00,69.5
2025-09-28 22:00:00,197
2025-09-28 22:30:00,423
